state,sector,week,MtCO2 per week
Anhui,Ground Transport,2023-05-22/2023-05-28,0.5440305
Anhui,Ground Transport,2023-05-29/2023-06-04,0.5433844
Anhui,Ground Transport,2023-06-05/2023-06-11,0.5599879
Anhui,Ground Transport,2023-06-12/2023-06-18,0.5441315
Anhui,Ground Transport,2023-06-19/2023-06-25,0.5547647
Anhui,Ground Transport,2023-06-26/2023-07-02,0.5443085
Anhui,Ground Transport,2023-07-03/2023-07-09,0.5418795
Anhui,Ground Transport,2023-07-10/2023-07-16,0.5353957
Anhui,Ground Transport,2023-07-17/2023-07-23,0.5416932
Anhui,Ground Transport,2023-07-24/2023-07-30,0.5401716
Anhui,Ground Transport,2023-07-31/2023-08-06,0.5470515
Anhui,Ground Transport,2023-08-07/2023-08-13,0.5456103
Anhui,Ground Transport,2023-08-14/2023-08-20,0.5388121
Anhui,Ground Transport,2023-08-21/2023-08-27,0.5370588
Anhui,Ground Transport,2023-08-28/2023-09-03,0.5423689
Anhui,Ground Transport,2023-09-04/2023-09-10,0.5391528
Anhui,Ground Transport,2023-09-11/2023-09-17,0.5443661
Anhui,Ground Transport,2023-09-18/2023-09-24,0.5433454
Anhui,Ground Transport,2023-09-25/2023-10-01,0.531787
Anhui,Ground Transport,2023-10-02/2023-10-08,0.542976
Anhui,Ground Transport,2023-10-09/2023-10-15,0.5254416
Anhui,Ground Transport,2023-10-16/2023-10-22,0.538739
Anhui,Ground Transport,2023-10-23/2023-10-29,0.5364542
Anhui,Ground Transport,2023-10-30/2023-11-05,0.5416106
Anhui,Ground Transport,2023-11-06/2023-11-12,0.5221534
Anhui,Ground Transport,2023-11-13/2023-11-19,0.541318
Anhui,Ground Transport,2023-11-20/2023-11-26,0.5351295
Anhui,Ground Transport,2023-11-27/2023-12-03,0.5426396
Anhui,Ground Transport,2023-12-04/2023-12-10,0.5463578
Anhui,Ground Transport,2023-12-11/2023-12-17,0.5272545
Anhui,Ground Transport,2023-12-18/2023-12-24,0.5610004
Anhui,Ground Transport,2023-12-25/2023-12-31,0.5440369
Anhui,Ground Transport,2024-01-01/2024-01-07,0.5588353
Anhui,Ground Transport,2024-01-08/2024-01-14,0.5466361
Anhui,Ground Transport,2024-01-15/2024-01-21,0.5549365
Anhui,Ground Transport,2024-01-22/2024-01-28,0.5263439
Anhui,Ground Transport,2024-01-29/2024-02-04,0.5453934
Anhui,Ground Transport,2024-02-05/2024-02-11,0.4777562
Anhui,Ground Transport,2024-02-12/2024-02-18,0.4561995
Anhui,Ground Transport,2024-02-19/2024-02-25,0.5326952
Anhui,Ground Transport,2024-02-26/2024-03-03,0.54477575
Anhui,Ground Transport,2024-03-04/2024-03-10,0.5578102
Anhui,Ground Transport,2024-03-11/2024-03-17,0.5498958
Anhui,Ground Transport,2024-03-18/2024-03-24,0.5539927
Anhui,Ground Transport,2024-03-25/2024-03-31,0.5559029
Anhui,Ground Transport,2024-04-01/2024-04-07,0.5688349
Anhui,Ground Transport,2024-04-08/2024-04-14,0.5486952
Anhui,Ground Transport,2024-04-15/2024-04-21,0.5460408999999999
Anhui,Ground Transport,2024-04-22/2024-04-28,0.5426597
Anhui,Ground Transport,2024-04-29/2024-05-05,0.5586565
Anhui,Ground Transport,2024-05-06/2024-05-12,0.549925
Anhui,Ground Transport,2024-05-13/2024-05-19,0.543629
Anhui,Ground Transport,2024-05-20/2024-05-26,0.5387108
Anhui,Ground Transport,2024-05-27/2024-06-02,0.5514719
Anhui,Ground Transport,2024-06-03/2024-06-09,0.5401697
Anhui,Ground Transport,2024-06-10/2024-06-16,0.5397887
